GTIN,MRID
96600000002606,840302-9999-1601-01-18
06285111002707,170601-9999-2713-01-03
06285111002714,170601-9999-2713-01-03
96600000004178,170601-9999-2713-02-03
96600000002545,170601-9999-2713-02-03
06285177000099,170601-9999-2713-03-05
06285177000082,170601-9999-2713-03-05
06285080000278,530203-0134-2715-02-19
96600000007019,590304-9999-5601-01-11
96600000008024,520301-9999-2713-01-01
50085412067846,640302-9922-3501-01-05
96600000007260,750401-9999-0401-01-04
96600000010433,820103-9999-5401-01-19
96600000010434,820103-9999-5401-02-19
96600000010436,820103-9999-5401-03-19
96600000010435,820103-9999-5401-04-19
96600000004226,330108-9999-4801-01-05
06223000010181,110701-9999-0401-01-04
96600000007098,801021-9999-5406-01-11
96600000002216,230604-9999-4001-01-18
96600000001590,230605-9999-5901-01-04
06221508170918,110801-9922-2713-01-01
96600000001095,111302-9999-0401-01-04
96600000002834,520205-9999-5401-01-01
96600000003828,520205-9999-5401-01-01
06285154001453,170902-9999-2713-01-01
06285154000012,170904-9999-2713-01-01
06285154000142,170904-9999-2713-02-01
06285154000609,170905-9906-2714-01-03
06285154001422,170906-9999-2713-01-03
06285154001439,170906-9999-2713-02-03
06285154001446,170906-9999-2713-03-03
06285154001415,170907-9999-2714-01-03
06285154000036,170907-9999-2714-02-01
96600000005548,070107-9999-2303-01-05
06221032130181,110702-9999-0401-01-04
96600000003512,110602-9999-6401-01-11
96600000003412,110602-9999-6401-01-11
96600000002386,531901-9999-0401-01-04
96600000005847,860102-9999-2713-01-01
96600000001894,860102-9999-2713-01-05
96600000001836,860102-9999-2713-01-05
96600000002336,860102-9999-3001-01-03
96600000006022,860102-9999-3001-01-03
96600000002403,860102-9999-3001-01-03
06288030001080,860102-9999-2713-01-01
06288030001073,860102-9999-2713-01-01
96611223344614,860102-9999-2713-01-01
06285111002691,860102-9999-3001-02-03
06285111002677,860102-9999-3001-02-03
06285177000044,860102-9999-5401-02-01
06285177000051,860102-9999-5401-02-01
96600000000536,510101-0130-5401-01-05
06285096001610,510101-0122-6410-01-04
06285096003645,510201-0122-6410-01-05
06285096001290,510202-0122-6410-01-04
00319810901125,570101-0122-2713-01-17
00319810900128,570101-0222-4803-01-19
00300020614554,540101-0122-6410-01-04
00300020615551,540101-0222-6410-01-04
00300020616558,540101-0322-6410-01-04
00300020617555,540101-0422-6410-01-04
06286023000201,550101-0122-6410-01-05
06286219000718,550101-0122-6401-02-05
06285101004148,550101-0122-6401-03-05
96600000003331,550101-0122-6401-04-05
05413868116601,550101-0222-6410-01-05
05000456054584,540201-0122-0401-01-04
06281080005558,100101-0122-6401-02-04
06281080005565,100101-0222-6401-02-04
06285074002301,100101-0122-6401-03-04
06285074002318,100101-0222-6401-03-04
06291100785230,590101-0122-6410-01-05
04030855450268,770101-0122-4803-01-03
04030855452781,770101-0222-6408-01-04
05026468771424,770101-0130-2713-01-01
96600000001931,770101-0322-2303-01-03
96600000002668,770101-0422-2303-01-03
06285074000291,650101-0122-6408-01-11
96600000008088,650101-0222-6408-01-04
96600000003630,650102-0122-6408-01-11
96600000003504,650102-0122-6408-01-11
05015997119654,510301-0130-5402-01-19
05015997120155,510301-0130-5402-01-19
06285101002762,510301-0122-4801-01-19
06285101002779,510301-0222-4801-01-19
06251106430114,510301-0101-0901-01-18
06281086290392,510301-0101-0901-02-18
06281086050590,510301-0322-6401-01-04
06285095006395,510301-0101-0901-03-18
06285095006388,510301-0101-0901-03-18
06281147004364,510301-0101-0901-04-18
06281147004678,510301-0101-0901-04-18
06251151000683,510301-0101-0901-05-18
06251151000577,510301-0101-0901-05-18
06291100085446,510301-0101-0901-06-18
06291100080717,510301-0101-4001-01-18
06291100084746,510301-0230-6001-01-05
06291100084906,510301-0122-2706-01-19
06291100781553,510301-0101-0901-07-18
06251144006036,510301-0101-0901-08-18
09501100940933,510301-0101-0901-09-18
06288030000090,510301-0101-0901-10-18
06281080012006,510301-0101-0901-11-18
06251148040159,510301-0322-6401-03-04
06285096000194,510301-0101-0901-12-18
06285096000200,510301-0101-0901-12-18
06285096003027,510301-0230-6001-02-05
06285097001619,510301-0322-6401-04-04
06285096003003,510301-0122-4801-02-19
06285097001626,510301-0522-6401-01-04
06285097001633,510301-0422-6401-01-04
96600000001067,320101-0122-0401-01-04
96600000000660,320101-0222-0401-01-04
05000456024952,760101-0141-4801-01-12
05415062381946,570201-0122-2713-01-17
05415062381960,570201-0122-2713-01-17
08715131020422,570201-0122-2713-02-17
96611223355685,570201-0122-2713-02-17
08054083017341,570201-0230-2713-01-17
07613421046064,570201-0122-2713-04-17
07613421046071,570201-0122-2713-04-17
96677000000726,570201-0122-2713-05-17
96677000000727,570201-0122-2713-05-17
06285095004728,370101-0101-0901-01-05
06285095004711,370101-0101-0601-01-05
03499320010832,370101-0101-0901-03-05
03499320010849,370101-0101-0601-03-05
06285128004695,370101-0101-0601-04-05
06285101001307,370101-0101-0901-04-05
06285101001314,370101-0101-0601-05-05
96677000005500,370102-0122-0601-01-18
03499320005791,370102-0101-0601-01-18
06285097002241,510102-0122-6401-01-04
06285097001787,510102-0122-6401-01-04
06285088000003,190101-0130-2713-01-19
15012727914906,190101-0130-2713-02-19
15012727913060,190101-0130-2713-02-19
06286219000411,190101-0130-2713-03-19
06285147803132,190101-0130-2713-04-19
96677000000178,190101-0130-2713-05-01
06285079000555,540301-0122-6410-01-04
06285079000548,540301-0222-6410-01-04
06285074000949,540401-0130-2713-01-19
06285074004459,540401-0130-2713-01-17
06285088002120,130101-0130-2706-01-19
05060147021400,130101-0230-5402-01-19
06285088002045,130102-0130-2706-01-19
06285088003493,130102-0130-2706-01-19
03594450700575,690101-0122-6410-01-04
04086000033572,170102-0107-2714-01-05
06291100080601,720101-0130-6001-01-05
96600000011164,170201-0130-2713-01-05
96600000011165,170201-0230-2713-01-05
96600000011166,170201-0230-2713-01-05
07612377009154,170201-0101-2713-01-19
07612377009147,170201-0101-2713-01-19
00368516631225,170201-0101-2713-02-19
00642621070910,170201-0106-5401-01-03
00642621070927,170201-0106-5401-01-03
06285117000448,170201-0201-5401-01-05
96600000000664,170201-0201-5401-01-19
04036124022389,170201-0201-2713-01-05
05413760365053,170201-0201-2713-01-05
05413760347813,170201-0101-2713-03-19
06285117000455,170201-0101-2713-03-19
26285117005126,170201-0101-2713-03-05
08435308316188,170201-0101-2713-03-19
05999057200363,170201-0101-2713-03-19
05999057200370,170201-0101-2713-03-19
04036124027483,170201-0101-2713-03-19
04036124000820,170201-0101-2713-03-05
08435308319899,170201-0101-2713-03-19
00313533002442,170201-0101-2715-01-19
00313533002459,170201-0101-2715-01-19
08055271660028,170201-0101-2713-04-19
08055271660035,170201-0101-2713-05-05
05019943000140,170201-0101-5401-01-05
05019943000133,170201-0101-5401-01-05
07613326002578,540501-0122-0401-01-04
06285088002083,570102-0130-2713-01-19
00771313208536,620101-0122-6401-01-04
06285128017725,620101-0122-6401-02-04
96600000000545,620101-0122-6410-01-04
06251154212014,620101-0122-6401-03-04
00366582500353,620101-0122-6401-04-04
