nhic_code,MRID
90000000014932,480202-0204-2701
90000000008819,380104-0201-0901
90000000022570,380104-0301-0901
90000000009915,190706-0130-2713
90000000009918,190706-0130-2713
90000000005330,280209-0101-0901
90000000023627,660107-0422-6401
90000000005423,280209-0101-0901
90000000002712,240102-0322-6401
90000000030865,280209-0101-0601
90000000025021,280209-0101-0601
90000000034011,650402-0322-6401
90000000032848,280209-0101-0901
90000000003321,430101-0130-2713
90000000007121,380106-0101-5401
90000000011257,370401-0201-0901
90000000010674,620202-0230-2713
90000000022211,040201-0222-4301
90000000028712,430603-0130-2713
90000000005452,640405-0201-2704
90000000031762,310202-0130-6201
90000000027735,640405-0201-2704
90000000033441,761001-0230-5401
90000000004574,120601-0501-2713
90000000007352,830209-0130-2713
90000000004436,430603-0230-2713
90000000005410,830213-0101-2713
90000000011026,481401-0209-2706
90000000005795,700801-0101-5406
90000000032464,760102-0141-2601
90000000033483,770105-0130-5401
90000000034517,542001-0130-2713
90000000011190,410201-0122-6401
90000000007137,190402-0130-2713
90000000034905,420404-0130-6201
90000000006894,570114-0122-0401
90000000030961,710401-0130-3501
90000000007339,110103-0609-0401
90000000014945,480202-0104-2713
90000000006173,290305-0105-4001
90000000004888,531601-0102-6001
90000000035386,640401-0122-5601
90000000032493,780401-0122-6401
90000000032550,070301-0241-5603
90000000032845,330105-0101-0901
90000000032508,760603-0141-2601
90000000032832,330105-0101-4001
90000000005740,640206-0301-2713
90000000032422,120211-0122-6401
90000000006906,481110-0130-5401
90000000000271,430103-0122-2713
90000000034284,542002-0130-2713
90000000005782,380303-0101-0901
90000000029081,280108-0101-0901
90000000025050,680108-0430-2713
90000000009172,130107-0130-2713
90000000032752,010202-0130-3801
90000000033063,290305-9999-4001
90000000029097,280108-0101-5601
90000000013301,680404-0222-6409
90000000030839,280108-0101-0901
90000000008047,640206-0301-2713
90000000013410,761001-0130-6201
90000000009931,190706-0130-2713
90000000030349,060101-0122-6404
90000000009239,160601-0130-2713
90000000024537,640210-0101-2701
90000000029936,482402-0222-2706
90000000009822,150304-0122-2706
90000000032451,760606-0141-6001
90000000009281,760606-0341-6001
90000000009297,760606-0241-6001
90000000008111,030101-0130-2713
90000000019616,100501-0222-2713
90000000017457,541802-0230-2714
90000000033008,640206-0101-5601
90000000014000,130101-0230-5402
90000000010033,130106-0130-2713
90000000003571,801102-0101-5406
90000000010007,260402-0130-2713
90000000032438,761001-0141-5401
90000000029776,760507-0141-4801
90000000015217,030101-0201-5406
90000000018056,541003-0330-2713
90000000008537,760701-0146-2713
90000000027722,640405-0101-2704
90000000007310,240104-0130-2701
90000000007816,680107-0230-2713
90000000009809,150304-0222-2706
90000000031922,030402-0130-3501
90000000014189,640101-0146-2713
90000000008832,340103-0201-0901
90000000011907,070301-0141-2601
90000000009425,830206-0130-2713
90000000033005,640206-0401-0601
90000000030362,700301-0146-2713
90000000004071,411601-0130-2713
90000000035658,760606-0241-6001
90000000009294,760606-0541-4801
90000000009268,760606-0641-4801
90000000018040,541104-0422-2701
90000000034191,560105-0130-2713
90000000033540,430102-0141-5601
90000000021423,760604-0241-6001
90000000012436,710101-0130-2713
90000000010725,830401-0322-6416
90000000010728,830401-0222-6416
90000000012433,710101-0230-2713
90000000012193,670301-0122-6401
90000000021468,760604-0141-6001
90000000010741,830401-0122-6416
90000000009800,150304-0322-2706
90000000012087,800701-0130-5406
90000000021452,760604-0341-6001
90000000012247,480301-0230-5406
90000000029225,230103-0201-5406
90000000029148,430103-0122-2713
90000000032794,370401-0130-5401
90000000006961,650403-0130-3501
90000000008204,130205-0130-2713
90000000011898,210301-0146-2713
90000000020244,480303-0104-2701
90000000005385,280209-0101-4801
90000000010645,430102-0241-6416
90000000006583,681002-0230-2713
90000000019261,400302-0222-0601
90000000004859,761001-0146-2713
90000000030500,680107-0230-2713
90000000024076,740303-0130-6201
90000000001437,680107-0130-2713
90000000009729,570203-0122-2713
90000000012548,010201-0222-4801
90000000010648,430102-0341-6416
90000000006554,430502-0146-2713
