NUPCO Code,MRID
51151710003,910101-0201-5406
51151710000,910101-0101-5406
51151710001,910101-0101-5406
51142106003,890101-0330-2713
51142106005,890101-0322-6410
51142106004,890101-0230-6001
51142106001,890101-0222-6401
51179000009,890101-0130-5401
51142106006,890101-0122-6401
51211623000,880201-0122-0401
51212500001,870302-0430-2713
51212503009,870302-0430-2713
51441512000,870203-0137-2713
51191605003,860102-9999-3001
51191605001,860102-9999-2713
51191605002,860102-9999-2713
51473504002,860102-0534-2713
51191605004,860102-0534-2713
50161512100,860101-9999-6201
51191902016,850101-0122-4801
51441606000,840102-0122-6401
51211601000,830403-0122-2706
51172321001,830402-0130-5401
51172321000,830402-0122-6410
51211699003,830401-0622-6410
51211699004,830401-0522-6410
51211699005,830401-0422-6410
51211699002,830401-0322-6416
51211699001,830401-0222-6416
51211699000,830401-0122-6416
51211610000,830304-0101-4804
51171926000,830303-0122-6410
51171926001,830303-0104-4804
51211610001,830301-0101-4804
51142999001,830216-0130-2713
51101836003,830215-0104-2713
51211609001,830213-0101-2713
51121610001,830212-0104-4801
51142302000,830210-0146-2713
51142302001,830210-0130-2713
51211615001,830209-0130-2713
51111713017,830208-0130-2713
51172313000,830207-0107-5401
51401525000,830206-0130-2713
51211604001,830204-0130-2713
51192014001,830106-0222-2706
51192014000,830106-0122-2706
51112102000,830105-0122-2701
51211617002,830102-0230-2713
51211617004,830102-0222-2713
51211617000,830102-0222-2713
51211619001,830102-0222-2713
51211617003,830102-0130-2713
51211617001,830102-0122-6401
51192601000,830101-0122-2713
51101518003,810201-0122-5406
51212399000,802201-0146-5406
51102402001,801810-0101-5406
51142148003,801802-0430-2713
51142148006,801802-0430-2701
51142148002,801802-0430-2701
51142148004,801802-0301-5406
51102500004,801706-0122-5406
51102500009,801704-0101-5406
51102500003,801703-0117-6003
51101584003,801601-0101-5406
51101584001,801601-0101-4001
51281626005,801503-0101-6003
51181704002,801503-0101-4001
51212550001,801501-0101-5406
51142908015,801402-0101-5406
51212303000,801401-0130-2713
51212303002,801401-0101-5406
51422206005,801207-0141-2501
51181708003,801204-0301-5406
51181708002,801204-0101-6003
51181736000,801202-0101-6003
51181704008,801201-0141-2501
51181704009,801201-0101-5406
51151606000,801102-0101-5406
51151606001,801102-0101-5406
51151605001,801101-0201-5406
51151605002,801101-0101-5406
51151605000,801101-0101-5406
51191602000,801015-0101-5406
51191602009,801015-0101-5406
51191602007,801014-0201-5406
51191602066,801014-0101-5406
51191999903,801012-0101-5406
51172319004,801010-0130-5406
51241299003,801008-9999-3101
51131905000,801007-0122-5406
51191999900,801004-0101-5406
50161512101,801003-0134-5401
51191999901,801002-0201-5406
51171631006,801002-0101-5406
51241299005,801001-0101-0601
51142198000,800903-0101-6003
51142104002,800902-0101-5406
51382401000,800901-0101-5406
51111753000,800802-0130-2713
51241116000,800704-0146-5406
51241199000,800703-0141-5406
51241110001,800702-0130-5406
51241103002,800701-0130-5406
51241115003,800609-0130-5406
51241110002,800608-0130-5406
51241119900,800607-0130-5406
51241119901,800607-0130-5406
51241115002,800606-0130-6003
51151702000,800605-0130-5406
51241103003,800604-0130-5406
51241115001,800603-0230-5406
51241115000,800603-0130-5406
51151814001,800601-0101-5406
51392202000,800501-0130-5406
51161903001,800405-0201-5406
51161903000,800405-0101-5406
51151724000,800404-0101-5406
